City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,norman wells,65.282,-126.8329,-32.93999999999997,99,37,0.98,CA,1678017614
98,beringovskiy,63.05,179.3167,-17.99999999999997,92,100,5.54,RU,1678017615
99,nanortalik,60.1432,-45.2371,1.7600000000000477,81,86,2.96,GL,1678017615
100,fairbanks,64.8378,-147.7164,-20.779999999999973,77,81,1.63,US,1678017343
101,kieta,-6.2167,155.6333,25.760000000000048,86,96,1.45,PG,1678017615
102,mount isa,-20.7333,139.5,26.870000000000005,74,97,1.54,AU,1678017615
103,northam,51.0333,-4.2167,5.220000000000027,80,100,2.39,GB,1678017615
104,naica,27.85,-105.4833,11.720000000000027,20,0,2.42,MX,1678017616
105,kodiak,57.79,-152.4072,-3.3899999999999864,69,85,2.62,US,1678017616
106,cabo san lucas,22.8909,-109.9124,12.010000000000048,68,0,3.85,MX,1678017616
107,broken hill,-31.95,141.4333,26.879999999999995,24,34,2.75,AU,1678017616
108,sahuaripa,29.05,-109.2333,11.410000000000025,31,11,2.16,MX,1678017616
109,rundu,-17.9333,19.7667,34.55000000000001,26,46,2.63,NA,1678017616
110,meulaboh,4.1363,96.1285,25.980000000000018,79,19,0.79,ID,1678017616
111,svetlaya,46.5389,138.3297,1.7000000000000455,71,2,3.78,RU,1678017617
112,kovdor,67.5662,30.4758,-7.810000000000002,90,100,1.59,RU,1678017575
113,ishinomaki,38.4167,141.3,4.640000000000043,61,18,1.86,JP,1678017617
114,tutoia,-2.7619,-42.2744,27.140000000000043,84,89,3.74,BR,1678017617
115,boden,65.8252,21.6886,-3.0,92,100,4.69,SE,1678017418
116,hit,33.6416,42.8251,29.170000000000016,12,75,5.19,IQ,1678017617
117,caravelas,-17.7125,-39.2481,28.460000000000036,63,37,1.26,BR,1678017617
118,ilulissat,69.2167,-51.1,-9.67999999999995,82,26,2.92,GL,1678017617
119,huaicheng,23.9051,112.1931,21.629999999999995,29,0,0.93,CN,1678017618
120,provideniya,64.3833,-173.3,0.37999999999999545,98,100,7.76,RU,1678017618
121,lompoc,34.6391,-120.4579,9.220000000000027,92,100,0.45,US,1678017618
122,hambantota,6.1241,81.1185,30.189999999999998,79,40,3.09,LK,1678017618
123,kaitangata,-46.2817,169.8464,8.400000000000034,81,36,1.25,NZ,1678017618
